Make,Model,Price,Year,Kilometer,Fuel Type,Transmission,Location,Color,Owner,Seller Type,Engine,Max Power,Max Torque,Drivetrain,Length,Width,Height,Seating Capacity,Fuel Tank Capacity
Honda,City E [2013-2016],5850,2014,48409,Petrol,Manual,Ranchi,White,Second,Individual,1497 cc,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Alto 800 Vxi (Airbag),4615,2020,40000,Petrol,Manual,Deoghar,White,First,Individual,796 cc,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0
Audi,Q3 35 TDI Premium + Sunroof,30875,2017,61643,Diesel,Automatic,Dehradun,Blue,First,Individual,1968 cc,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0
Mercedes-Benz,C-Class Cabriolet C 300,84500,2020,21000,Petrol,Automatic,Gurgaon,White,Second,Individual,1991 cc,241,370,RWD,4686.0,1810.0,1409.0,4.0,59.0
Tata,Nexon XZ Plus Dark Edition,13650,2022,1500,Petrol,Manual,Kolkata,Black,First,Individual,1199 cc,118,170,FWD,3993.0,1811.0,1606.0,5.0,44.0
Ford,Ecosport Ambiente 1.5L TDCi,5785,2014,38985,Diesel,Manual,Noida,Silver,First,Individual,1498 cc,99,205,FWD,3998.0,1765.0,1647.0,5.0,52.0
Honda,Jazz SV Petrol,6435,2015,52000,Petrol,Manual,Noida,Brown,First,Individual,1199 cc,89,110,FWD,3955.0,1694.0,1544.0,5.0,40.0
Hyundai,i10 Sportz 1.2 Kappa2,3575,2011,42000,Petrol,Manual,Pune,Grey,First,Individual,1197 cc,79,112,FWD,3585.0,1595.0,1550.0,5.0,35.0
Honda,Amaze 1.2 VX AT i-VTEC,6045,2014,29442,Petrol,Automatic,Mumbai,Silver,First,Individual,1198 cc,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0
Jeep,Compass Limited (O) 2.0 Diesel [2017-2020],13650,2017,71800,Diesel,Manual,Lucknow,Black,First,Individual,1956 cc,171,350,FWD,4395.0,1818.0,1640.0,5.0,60.0
Mercedes-Benz,C-Class C 200 Progressive [2018-2020],63700,2022,5000,Petrol,Automatic,Delhi,White,First,Individual,1497 cc,181,280,RWD,4686.0,1810.0,1442.0,5.0,66.0
Hyundai,Grand i10 NIOS Sportz 1.2 Kappa VTVT CNG,9035,2020,18000,CNG,Manual,Ghaziabad,Green,First,Individual,1197 cc,68,95,FWD,3805.0,1680.0,1520.0,5.0,60.0
Toyota,Fortuner 2.8 4x2 AT [2016-2020],41730,2018,37000,Diesel,Automatic,Delhi,White,First,Individual,2755 cc,174,450,RWD,4795.0,1855.0,1835.0,7.0,80.0
Honda,City 1.5 S MT,3497,2009,85000,Petrol,Manual,Mohali,White,Second,Individual,1497 cc,118,146,FWD,4420.0,1695.0,1480.0,5.0,42.0
Hyundai,Xcent E Plus CRDi,5785,2018,65555,Diesel,Manual,Varanasi,White,Second,Individual,1186 cc,74,190,FWD,3995.0,1660.0,1520.0,5.0,43.0
Land Rover,Evoque SE R-Dynamic,77350,2021,35000,Diesel,Automatic,Delhi,Beige,First,Individual,1999 cc,177,430,AWD,4371.0,1996.0,1649.0,5.0,66.5
BMW,X3 xDrive 20d Luxury Line [2018-2020],49400,2018,87000,Diesel,Automatic,Raipur,Blue,First,Individual,1995 cc,190,400,AWD,4657.0,1881.0,1678.0,5.0,67.0
Hyundai,Creta 1.6 SX Plus AT Petrol,13000,2018,42000,Petrol,Automatic,Kolkata,White,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Mahindra,Scorpio S11 4WD 7 STR,19370,2018,68000,Diesel,Manual,Ludhiana,White,Second,Individual,2179 cc,140,320,AWD,4456.0,1820.0,1995.0,7.0,60.0
MG,Astor Sharp EX 1.5 MT,20150,2022,600,Petrol,Manual,Kolkata,Orange,First,Individual,1498 cc,108,144,FWD,4323.0,1809.0,1650.0,5.0,48.0
Toyota,Etios Liva VD Dual Tone,6305,2017,86006,Diesel,Manual,Gurgaon,White,First,Individual,1364 cc,67,170,FWD,3884.0,1695.0,1510.0,5.0,45.0
Honda,City SV Diesel,5525,2014,75000,Diesel,Manual,Kanpur,White,First,Individual,1498 cc,99,200,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mahindra,Scorpio S10,14950,2014,99000,Diesel,Manual,Ludhiana,Silver,First,Individual,2179 cc,120,280,RWD,4456.0,1820.0,1995.0,8.0,60.0
Skoda,Superb L&K TSI AT,41535,2021,21651,Petrol,Automatic,Mumbai,Blue,First,Individual,1798 cc,177,250,FWD,4861.0,1864.0,1483.0,5.0,66.0
Hyundai,i20 Active 1.4 SX,9425,2016,84000,Diesel,Manual,Aurangabad,White,First,Individual,1396 cc,89,220,FWD,3995.0,1760.0,1555.0,5.0,45.0
Mercedes-Benz,M-Class ML 350 CDI,31850,2014,65000,Diesel,Automatic,Chandigarh,White,Second,Individual,2997 cc,254,619,AWD,4804.0,2141.0,1796.0,5.0,70.0
Maruti Suzuki,Ciaz Zeta 1.4 AT,9633,2017,31000,Petrol,Automatic,Mumbai,Blue,First,Individual,1373 cc,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],95550,2022,17000,Diesel,Automatic,Surat,Grey,First,Individual,1950 cc,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0
Mahindra,Thar AX 6-STR Soft Top Diesel MT,20150,2020,28000,Diesel,Manual,Delhi,Black,First,Individual,2184 cc,130,300,AWD,3985.0,1820.0,1920.0,6.0,57.0
Honda,City S Diesel,8385,2015,64000,Diesel,Manual,Raipur,White,First,Individual,1498 cc,99,200,FWD,4440.0,1695.0,1495.0,5.0,40.0
Honda,City SV Diesel,7150,2014,85000,Diesel,Manual,Jaipur,Silver,First,Individual,1498 cc,99,200,FWD,4440.0,1695.0,1495.0,5.0,40.0
Maruti Suzuki,Baleno Alpha 1.2 AT,7735,2017,35000,Petrol,Automatic,Mumbai,Blue,Third,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Volvo,V40 Cross Country D3,20735,2015,44000,Diesel,Automatic,Mumbai,Blue,First,Individual,1984 cc,150,350,FWD,4370.0,1783.0,1458.0,5.0,60.0
Maruti Suzuki,Celerio X Zxi AMT [2017-2019],6500,2017,32000,Petrol,Automatic,Chennai,Orange,Second,Individual,998 cc,67,90,FWD,3715.0,1635.0,1565.0,5.0,35.0
Maruti Suzuki,Wagon R LXI ABS,4485,2016,49857,Petrol,Manual,Faridabad,White,First,Individual,998 cc,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0
Maruti Suzuki,Wagon R VXI+,3887,2013,46000,Petrol,Manual,Varanasi,White,First,Individual,998 cc,67,90,FWD,3636.0,1475.0,1670.0,5.0,35.0
Maruti Suzuki,Wagon R LXi Minor,2080,2008,50000,Petrol,Manual,Varanasi,Silver,Second,Individual,1061 cc,67,84,FWD,3520.0,1475.0,1690.0,5.0,35.0
Maruti Suzuki,Baleno Delta 1.2 AT,7410,2017,36000,Petrol,Automatic,Zirakpur,White,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Renault,Kiger RXT Turbo CVT,10400,2021,13000,Petrol,Automatic,Dehradun,White,First,Individual,999 cc,99,152,FWD,3991.0,1750.0,1605.0,5.0,40.0
Hyundai,Eon 1.0 Kappa Magna + [2014-2016],4095,2013,45000,Petrol,Manual,Chennai,Grey,First,Individual,998 cc,68,94,FWD,3515.0,1500.0,1510.0,5.0,32.0
Mercedes-Benz,S-Class 350 L,24050,2011,26000,Petrol,Automatic,Delhi,Black,First,Individual,3498 cc,272,345,RWD,5226.0,2120.0,1479.0,5.0,90.0
Maruti Suzuki,S-Presso VXi CNG,7930,2022,3800,CNG,Manual,Delhi,White,First,Individual,998 cc,58,78,FWD,3565.0,1520.0,1564.0,4.0,55.0
Toyota,Innova 2.4 VX 8 STR [2016-2020],25935,2018,35123,Diesel,Manual,Patna,White,First,Individual,2393 cc,148,343,RWD,4735.0,1830.0,1795.0,8.0,55.0
Kia,Seltos GTX Plus AT 1.5 Diesel [2019-2020],24375,2021,21000,Diesel,Automatic,Delhi,Grey,First,Individual,1493 cc,114,250,FWD,4315.0,1800.0,1645.0,5.0,50.0
Hyundai,Creta SX (O) 1.5 Petrol CVT [2020-2022],22737,2022,2670,Petrol,Automatic,Kolkata,White,First,Individual,1497 cc,113,144,FWD,4300.0,1790.0,1635.0,5.0,50.0
Skoda,Rapid Ambition 1.6 TDI CR MT,8320,2016,124000,Diesel,Manual,Coimbatore,Grey,First,Individual,1598 cc,105,250,FWD,4386.0,1699.0,1466.0,5.0,55.0
Hyundai,Elite i20 Asta 1.2 (O) [2016],10127,2016,9889,Petrol,Manual,Bangalore,Blue,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
Honda,City ZX CVT Petrol,18850,2021,13000,Petrol,Automatic,Delhi,Brown,First,Individual,1497 cc,118,145,FWD,4440.0,1695.0,1495.0,5.0,40.0
Tata,Nexon XZA Plus Petrol,11570,2018,35000,Petrol,Automatic,Chennai,Orange,First,Individual,1198 cc,108,170,FWD,3994.0,1811.0,1607.0,5.0,44.0
Maruti Suzuki,Baleno Zeta 1.2,8125,2017,51145,Petrol,Manual,Nagpur,Red,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mercedes-Benz,GLS 350 d,110500,2019,13000,Diesel,Automatic,Mumbai,White,First,Individual,2987 cc,255,620,AWD,5130.0,1934.0,1850.0,7.0,100.0
Audi,RS5 4.2 Coupe,37700,2011,56000,Petrol,Automatic,Pune,Red,Third,Individual,4163 cc,444,430,AWD,4649.0,1860.0,1366.0,5.0,64.0
Mercedes-Benz,GLC 220 d Progressive,59150,2018,45000,Diesel,Automatic,Mumbai,Grey,First,Individual,2143 cc,168,400,AWD,4656.0,1890.0,1639.0,5.0,66.0
Skoda,Superb L&K TDI AT,32500,2017,82900,Diesel,Automatic,Coimbatore,Brown,First,Individual,1968 cc,174,350,FWD,4861.0,1864.0,1483.0,5.0,66.0
Maruti Suzuki,Alto 800 Lxi CNG,3237,2014,56843,CNG + CNG,Manual,Navi Mumbai,White,Second,Individual,796 cc,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0
Ford,Figo Duratec Petrol Titanium 1.2,3510,2015,64000,Petrol,Manual,Pune,Grey,First,Individual,1196 cc,70,102,FWD,3795.0,1680.0,1427.0,5.0,45.0
Maruti Suzuki,DZire VXi AMT,10725,2019,9644,Petrol,Automatic,Pune,Blue,First,Individual,1197 cc,82,113,FWD,3995.0,1735.0,1515.0,5.0,37.0
Maruti Suzuki,Celerio ZXi (O) AMT [2019-2020],5525,2017,41624,Petrol,Automatic,Pune,White,Second,Individual,998 cc,67,90,FWD,3695.0,1600.0,1560.0,5.0,35.0
Hyundai,Grand i10 Sportz U2 1.2 CRDi,5980,2016,82844,Diesel,Manual,Hyderabad,Grey,First,Individual,1186 cc,74,190,FWD,3765.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,E-Class E250 Elegance,12740,2011,78000,Petrol,Automatic,Ludhiana,White,Second,Individual,2497 cc,204,245,RWD,4868.0,1854.0,1471.0,5.0,80.0
Renault,Duster RXL Petrol,10257,2017,60444,Petrol,Manual,Bangalore,Red,First,Individual,1498 cc,105,142,FWD,4315.0,1822.0,1695.0,5.0,50.0
BMW,3-Series 330i M Sport Edition,66300,2022,6000,Petrol,Automatic,Raipur,White,First,Individual,1998 cc,248,350,RWD,4633.0,1811.0,1429.0,5.0,57.0
Mahindra,Scorpio S10,10075,2014,125000,Diesel,Manual,Lucknow,White,First,Individual,2179 cc,120,280,RWD,4456.0,1820.0,1995.0,8.0,60.0
Hyundai,Creta 1.6 SX Plus AT Petrol,18200,2019,13000,Petrol,Automatic,Mumbai,White,First,Individual,1591 cc,122,154,FWD,4270.0,1780.0,1630.0,5.0,60.0
Maruti Suzuki,Ertiga VDi,10010,2015,112000,Diesel,Manual,Chennai,Gold,First,Individual,1248 cc,89,200,FWD,4265.0,1695.0,1685.0,7.0,45.0
Hyundai,Grand i10 Magna 1.2 Kappa VTVT [2017-2020],5850,2016,53300,Petrol,Manual,Pune,Maroon,First,Individual,1197 cc,81,114,FWD,3765.0,1660.0,1520.0,5.0,43.0
Honda,City SV,10920,2019,34000,Petrol,Manual,Delhi,White,First,Individual,1497 cc,117,145,FWD,4440.0,1695.0,1495.0,5.0,40.0
Mercedes-Benz,S-Class Maybach S 560,240500,2021,21000,Petrol,Automatic,Gurgaon,Black,First,Individual,3982 cc,463,700,RWD,5462.0,1899.0,1498.0,4.0,70.0
Land Rover,Evoque HSE Dynamic,52000,2017,25500,Diesel,Automatic,Pune,White,Second,Individual,1999 cc,177,430,AWD,4360.0,2120.0,1635.0,5.0,57.0
Mahindra,XUV500 W8 1.99 [2016-2017],8970,2015,157662,Diesel,Manual,Jaipur,Silver,Second,Individual,1997 cc,138,320,FWD,4585.0,1890.0,1785.0,7.0,70.0
Mercedes-Benz,CLA 200 D Urban Sport,36400,2018,20000,Diesel,Automatic,Mumbai,Red,First,Individual,2143 cc,136,300,FWD,4630.0,1777.0,1432.0,5.0,56.0
Hyundai,Xcent SX 1.1 CRDi,6825,2018,78900,Diesel,Manual,Vadodara,Silver,First,Individual,1120 cc,71,160,FWD,3995.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,E-Class E 220d Exclusive [2019-2019],101140,2022,11000,Diesel,Automatic,Delhi,Black,First,Individual,1950 cc,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0
Tata,Hexa XTA 4x2 7 STR,15600,2017,95785,Diesel,Automatic,Hyderabad,Blue,First,Individual,2179 cc,154,400,RWD,4788.0,1903.0,1791.0,7.0,60.0
Ford,Ecosport Titanium 1.5L TDCi,8060,2017,92000,Diesel,Manual,Agra,Brown,First,Individual,1498 cc,99,205,FWD,3998.0,1765.0,1647.0,5.0,52.0
Jaguar,F-Pace Prestige,67600,2019,43000,Diesel,Automatic,Delhi,Black,First,Individual,1999 cc,177,430,AWD,4731.0,2071.0,1651.0,5.0,82.0
Mercedes-Benz,CLA 200 CDI Sport,25987,2017,39328,Diesel,Automatic,Kolkata,Silver,First,Individual,2143 cc,134,300,FWD,4630.0,1777.0,1432.0,5.0,56.0
Toyota,Innova 2.4 ZX AT 7 STR,35425,2020,18625,Diesel,Automatic,Mumbai,Bronze,First,Individual,2393 cc,148,360,RWD,4735.0,1830.0,1795.0,7.0,55.0
Maruti Suzuki,Swift VXi [2014-2017],7670,2019,26000,Petrol,Manual,Lucknow,Blue,First,Individual,1197 cc,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0
MINI,Countryman Cooper D,19357,2014,81000,Diesel,Automatic,Panvel,Purple,Second,Individual,1995 cc,112,270,FWD,4097.0,1789.0,1561.0,5.0,47.0
Maruti Suzuki,DZire ZDi Plus AMT,8905,2018,92000,Diesel,Automatic,Ludhiana,White,First,Individual,1248 cc,74,190,FWD,3995.0,1735.0,1515.0,5.0,37.0
Mahindra,Scorpio S3 2WD 7 STR,14573,2019,38000,Diesel,Manual,Patna,White,First,Individual,2523 cc,75,200,RWD,4456.0,1820.0,1930.0,7.0,60.0
Maruti Suzuki,Wagon R VXI,7085,2019,10340,Petrol,Manual,Delhi,White,First,Individual,998 cc,67,90,FWD,3599.0,1495.0,1700.0,5.0,35.0
Audi,Q3 2.0 TDI quattro Premium,17550,2015,47706,Diesel,Automatic,Ranchi,Black,First,Individual,1968 cc,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0
Maruti Suzuki,XL6 Alpha MT Petrol,16887,2021,13400,Petrol,Manual,Mysore,White,First,Individual,1462 cc,103,138,FWD,4445.0,1775.0,1700.0,6.0,45.0
Ford,Aspire Titanium1.5 TDCi,5850,2016,44613,Diesel,Manual,Ranchi,Silver,First,Individual,1498 cc,99,215,FWD,3995.0,1695.0,1525.0,5.0,40.0
Porsche,718 Cayman [2017-2020],117000,2017,7000,Petrol,Automatic,Faridabad,Red,First,Individual,1988 cc,295,380,RWD,4379.0,1801.0,1295.0,2.0,54.0
Maruti Suzuki,Swift VXi [2014-2017],7150,2019,29000,Petrol,Manual,Kolkata,Grey,First,Individual,1197 cc,83,115,FWD,3850.0,1695.0,1530.0,5.0,42.0
BMW,3-Series 320d Luxury Line,57070,2020,23000,Diesel,Automatic,Mumbai,White,First,Corporate,1995 cc,188,400,RWD,4633.0,1811.0,1429.0,5.0,57.0
Maruti Suzuki,Wagon R LXI CNG (O),5785,2015,67580,CNG,Manual,Pune,White,First,Individual,998 cc,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0
Hyundai,Verna 1.6 VTVT S,6435,2015,42000,Petrol,Manual,Kolkata,Red,First,Individual,1591 cc,121,155,FWD,4375.0,1700.0,1475.0,5.0,43.0
Hyundai,Eon 1.0 Kappa Magna AirBag,4680,2015,16205,Petrol,Manual,Pune,White,First,Individual,998 cc,68,94,FWD,3515.0,1550.0,1510.0,5.0,32.0
Maruti Suzuki,Grand Vitara 2015 2.0 AT,4485,2007,92000,Petrol,Automatic,Mohali,Black,Third,Individual,1995 cc,120,170,AWD,4470.0,1810.0,1695.0,5.0,66.0
Hyundai,Grand i10 Asta AT 1.2 Kappa VTVT [2013-2016],7345,2016,29000,Petrol,Automatic,Mumbai,Silver,First,Individual,1197 cc,79,112,FWD,3765.0,1660.0,1520.0,5.0,43.0
Mercedes-Benz,GLE 300d 4MATIC LWB,122070,2022,14000,Diesel,Automatic,Delhi,White,First,Individual,1950 cc,241,500,AWD,4924.0,2157.0,1772.0,5.0,93.0
Mahindra,TUV300 T8 AMT mHAWK100,7995,2017,69000,Diesel,Automatic,Delhi,Black,First,Individual,1493 cc,100,240,RWD,3995.0,1835.0,1839.0,7.0,60.0
Honda,City V Diesel,6825,2015,114635,Diesel,Manual,Kolkata,Grey,First,Individual,1498 cc,99,200,FWD,4440.0,1695.0,1495.0,5.0,40.0
BMW,X1 sDrive20d xLine,34450,2018,50000,Diesel,Automatic,Delhi,Blue,Second,Individual,1995 cc,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0
BMW,X1 sDrive20d xLine,49205,2019,29221,Diesel,Automatic,Bangalore,Blue,First,Individual,1995 cc,184,350,RWD,4454.0,2044.0,1545.0,5.0,63.0
Audi,A6 2.0 TDI Premium,15275,2012,77000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1968 cc,177,380,FWD,4915.0,1874.0,1455.0,5.0,65.0
Mercedes-Benz,GLC 220d 4MATIC Progressive,83200,2022,5500,Diesel,Automatic,Hyderabad,White,UnRegistered Car,Individual,1950 cc,192,400,AWD,4658.0,1890.0,1644.0,5.0,66.0
BMW,3-Series 320d Sport Line,18850,2013,70000,Diesel,Automatic,Mumbai,Blue,Second,Individual,1995 cc,184,380,RWD,4624.0,2031.0,1429.0,5.0,60.0
Honda,City VX CVT Petrol,18070,2022,32000,Petrol,Automatic,Delhi,Brown,First,Individual,1498 cc,119,145,FWD,4549.0,1748.0,1489.0,5.0,40.0
Ferrari,488 GTB,455000,2018,9500,Petrol,Automatic,Delhi,Black,First,Individual,3902 cc,660,760,RWD,4568.0,1952.0,1213.0,2.0,78.0
Volkswagen,Tiguan Highline TDI,38870,2020,17904,Diesel,Automatic,Mumbai,White,First,Individual,1968 cc,141,340,AWD,4486.0,1839.0,1672.0,5.0,71.0
Land Rover,Evoque Pure SD4,27950,2012,95000,Diesel,Automatic,Coimbatore,White,First,Individual,2179 cc,190,420,AWD,4355.0,2120.0,1635.0,5.0,57.0
Mercedes-Benz,GLE 43 4MATIC [2017-2019],110500,2018,25275,Petrol,Automatic,Hyderabad,Black,First,Individual,2996 cc,362,520,AWD,4891.0,2003.0,1719.0,5.0,93.0
Maruti Suzuki,Wagon R LXI CNG,5200,2016,67850,CNG,Manual,Mumbai,Red,First,Individual,998 cc,58,77,FWD,3599.0,1495.0,1700.0,5.0,35.0
Tata,Nano Base,637,2010,60000,Petrol,Manual,Gurgaon,White,First,Individual,624 cc,35,48,RWD,3099.0,1495.0,1652.0,4.0,15.0
Maruti Suzuki,Swift VDi,7930,2017,105000,Diesel,Manual,Pune,Silver,First,Corporate,1248 cc,74,190,FWD,3850.0,1695.0,1530.0,5.0,42.0
Hyundai,Creta SX 1.6 AT Petrol,13975,2019,45000,Petrol,Automatic,Raipur,White,First,Individual,1591 cc,122,151,FWD,4270.0,1780.0,1665.0,5.0,55.0
Mercedes-Benz,E-Class E 220 d Avantgarde,97500,2021,8000,Diesel,Automatic,Bangalore,White,First,Individual,1950 cc,192,400,RWD,5063.0,1860.0,1494.0,5.0,80.0
Toyota,Corolla Altis G AT Petrol,17173,2018,38000,Petrol,Automatic,Mumbai,Gold,First,Corporate,1798 cc,138,173,FWD,4620.0,1775.0,1475.0,5.0,55.0
Maruti Suzuki,S-Cross Zeta 1.3,12350,2020,55055,Diesel,Manual,Ludhiana,White,First,Individual,1248 cc,89,200,FWD,4300.0,1785.0,1595.0,5.0,48.0
Maruti Suzuki,Baleno Zeta 1.2,10725,2021,22000,Petrol,Manual,Raipur,Blue,First,Individual,1197 cc,83,115,FWD,3995.0,1745.0,1500.0,5.0,37.0
Mitsubishi,Pajero 2.5 MT,16900,2013,95000,Diesel,Manual,Bangalore,Blue,Second,Individual,2477 cc,176,400,AWD,4695.0,1815.0,1840.0,7.0,70.0
Maruti Suzuki,Swift ZXi,6045,2014,25704,Petrol,Manual,Mumbai,Red,First,Individual,1197 cc,85,114,FWD,3850.0,1695.0,1530.0,5.0,42.0
Maruti Suzuki,Swift DZire VDI,6175,2016,55353,Diesel,Manual,Kanpur,Grey,Second,Individual,1248 cc,74,190,FWD,3995.0,1695.0,1555.0,5.0,42.0
Audi,Q3 35 TDI Premium,23075,2015,80000,Diesel,Automatic,Chennai,Silver,First,Individual,1968 cc,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0
Volkswagen,Vento Highline Plus 1.2 (P) AT 16 Alloy,10725,2018,62000,Petrol,Automatic,Faridabad,Brown,First,Corporate,1197 cc,103,175,FWD,4390.0,1699.0,1467.0,5.0,55.0
Ford,Endeavour Titanium 3.2 4x4 AT,44850,2019,41526,Diesel,Automatic,Coimbatore,Silver,First,Individual,3198 cc,197,470,AWD,4892.0,1860.0,1837.0,7.0,80.0
Tata,Tiago Revotron XT [2016-2019],4927,2018,29434,Petrol,Manual,Kolkata,Silver,Second,Individual,1047 cc,69,140,FWD,3746.0,1647.0,1535.0,5.0,35.0
Datsun,Go D,3120,2017,42000,Petrol,Manual,Lucknow,White,First,Individual,1198 cc,67,104,FWD,3785.0,1635.0,1485.0,5.0,35.0
Kia,Seltos HTK Plus 1.5 [2019-2020],19825,2021,14000,Petrol,Manual,Delhi,Black,First,Individual,1497 cc,114,144,FWD,4315.0,1800.0,1645.0,5.0,50.0
BMW,3-Series 320d Sport Line,18200,2014,35000,Diesel,Automatic,Kolkata,Brown,First,Individual,1995 cc,184,380,RWD,4624.0,2031.0,1429.0,5.0,60.0
Mercedes-Benz,GLA 200 d Sport,31850,2018,61000,Diesel,Automatic,Mumbai,Gold,Second,Individual,2143 cc,134,300,FWD,4424.0,1804.0,1494.0,5.0,50.0
Mercedes-Benz,GLA 200 CDI Sport,23270,2015,45000,Diesel,Automatic,Lucknow,White,First,Individual,2143 cc,134,300,FWD,4417.0,1804.0,1494.0,5.0,50.0
Mercedes-Benz,C-Class C 220d Progressive [2018-2019],55575,2019,31000,Diesel,Automatic,Delhi,Blue,First,Individual,1950 cc,192,400,RWD,4686.0,1810.0,1442.0,5.0,66.0
Hyundai,Elite i20 Sportz 1.2 MT,10075,2020,39000,Petrol,Manual,Mumbai,White,First,Individual,1197 cc,82,115,FWD,3995.0,1775.0,1505.0,5.0,37.0
Maruti Suzuki,Estilo VXi BS-IV,2990,2012,52000,Petrol,Manual,Pune,White,First,Individual,998 cc,67,90,FWD,3600.0,1495.0,1595.0,5.0,35.0
Hyundai,Eon Era +,3900,2018,51000,Petrol,Manual,Kanpur,White,First,Individual,814 cc,55,75,FWD,3495.0,1550.0,1500.0,5.0,32.0
Maruti Suzuki,Alto VXi (O) [2014-2019],2080,2011,72000,Petrol,Manual,Kanpur,Silver,First,Individual,998 cc,67,90,FWD,3545.0,1490.0,1475.0,5.0,35.0
Mercedes-Benz,GLE 300d 4MATIC LWB,107900,2020,50000,Diesel,Automatic,Navi Mumbai,White,First,Individual,1950 cc,241,500,AWD,4924.0,2157.0,1772.0,5.0,93.0
Audi,Q3 35 TDI Premium + Sunroof,21905,2016,80251,Diesel,Automatic,Delhi,Blue,Second,Individual,1968 cc,174,380,AWD,4385.0,1831.0,1608.0,5.0,64.0
Hyundai,i10 Sportz 1.2,3510,2010,86000,Petrol,Manual,Chennai,Grey,Second,Individual,1197 cc,80,111,FWD,3565.0,1595.0,1550.0,5.0,35.0
Maruti Suzuki,Alto 800 Lxi,2730,2014,42505,Petrol,Manual,Purnea,Red,First,Individual,796 cc,47,69,FWD,3395.0,1490.0,1475.0,5.0,35.0
Hyundai,Elite i20 Asta 1.2,8125,2017,42000,Petrol,Manual,Patna,Silver,First,Individual,1197 cc,82,115,FWD,3985.0,1734.0,1505.0,5.0,45.0
BMW,7-Series 730Ld M Sport,89700,2017,42200,Diesel,Automatic,Mumbai,Black,First,Individual,2993 cc,262,620,RWD,5219.0,1902.0,1481.0,4.0,78.0
Kia,Seltos GTX Plus AT 1.4 [2019-2020],19370,2019,57600,Petrol,Automatic,Chennai,White,First,Individual,1353 cc,138,242,FWD,4315.0,1800.0,1645.0,5.0,50.0
Mahindra,XUV500 W7 [2018-2020],14235,2018,57000,Diesel,Manual,Lucknow,Black,First,Individual,2179 cc,153,360,FWD,4585.0,1890.0,1785.0,7.0,70.0
Ford,Endeavour 3.0L 4x4 AT,11050,2014,85000,Diesel,Automatic,Zirakpur,Black,First,Individual,2953 cc,154,380,AWD,5060.0,1788.0,1826.0,7.0,71.0
Hyundai,Tucson 2WD AT GLS Diesel,20800,2016,128000,Diesel,Automatic,Pune,White,Second,Corporate,1995 cc,182,400,FWD,4475.0,1850.0,1660.0,5.0,62.0
Toyota,Etios V,3445,2011,66000,Petrol,Manual,Delhi,Black,First,Individual,1496 cc,80,132,FWD,4265.0,1695.0,1510.0,5.0,45.0
Volkswagen,Vento Comfortline Petrol,4680,2013,58000,Petrol,Manual,Chandigarh,Bronze,First,Individual,1598 cc,103,153,FWD,4384.0,1699.0,1466.0,5.0,55.0
Toyota,Fortuner 3.0 4x2 MT,19305,2015,64120,Diesel,Manual,Delhi,White,Second,Individual,2982 cc,169,343,RWD,4705.0,1840.0,1850.0,7.0,80.0
Maruti Suzuki,Ciaz Alpha 1.4 MT,10400,2017,82300,Petrol,Manual,Pune,White,First,Individual,1373 cc,91,130,FWD,4490.0,1730.0,1485.0,5.0,43.0
Maruti Suzuki,Vitara Brezza VDi,9230,2017,73000,Diesel,Manual,Lucknow,White,First,Individual,1248 cc,89,200,FWD,3995.0,1790.0,1640.0,5.0,48.0
Maruti Suzuki,S-Cross Alpha 1.6,9230,2018,72000,Diesel,Manual,Lucknow,Blue,First,Individual,1598 cc,118,320,FWD,4300.0,1765.0,1590.0,5.0,48.0
Volkswagen,Polo Highline1.0L (P),9360,2018,50197,Petrol,Manual,Pune,Grey,First,Individual,999 cc,75,95,FWD,3971.0,1682.0,1469.0,5.0,45.0
Honda,Amaze 1.2 S i-VTEC,5135,2014,44527,Petrol,Manual,Mumbai,Brown,First,Individual,1198 cc,87,109,FWD,3990.0,1680.0,1505.0,5.0,35.0
